date,pet
2004-06-01,961.25
2004-07-01,962.0
2004-08-01,1053.75
2004-09-01,1180.0
2004-10-01,1240.0
2004-11-01,1266.25
2004-12-01,1232.5
2005-01-01,1210.0
2005-02-01,1235.0
2005-03-01,1271.25
2005-04-01,1242.0
2005-05-01,1122.5
2005-06-01,1060.0
2005-07-01,1068.5
2005-08-01,1056.25
2005-09-01,1167.0
2005-10-01,1200.0
2005-11-01,1102.5
2005-12-01,1043.75
2006-01-01,1112.5
2006-02-01,1130.0
2006-03-01,1082.0
2006-04-01,1095.0
2006-05-01,1116.25
2006-06-01,1148.0
2006-07-01,1210.0
2006-08-01,1298.75
2006-09-01,1326.0
2006-10-01,1225.625
2006-11-01,1153.125
2006-12-01,1186.25
2007-01-01,1212.5
2007-02-01,1188.75
2007-03-01,1204.0
2007-04-01,1245.0
2007-05-01,1303.75
2007-06-01,1298.0
2007-07-01,1251.875
2007-08-01,1255.0
2007-09-01,1296.25
2007-10-01,1322.5
2007-11-01,1343.0
2007-12-01,1361.6666666666667
2008-01-01,1336.25
2008-02-01,1311.25
2008-03-01,1357.5
2008-04-01,1397.5
2008-05-01,1407.0
2008-06-01,1478.125
2008-07-01,1516.875
2008-08-01,1439.5
2008-09-01,1265.0
2008-10-01,1082.0
2008-11-01,812.5
2008-12-01,818.3333333333334
2009-01-01,878.75
2009-02-01,973.75
2009-03-01,941.25
2009-04-01,1031.25
2009-05-01,1088.0
2009-06-01,1028.75
2009-07-01,1069.0
2009-08-01,1166.25
2009-09-01,1066.25
2009-10-01,1061.0
2009-11-01,1146.25
2009-12-01,1195.0
2010-01-01,1260.0
2010-02-01,1271.25
2010-03-01,1256.25
2010-04-01,1289.0
2010-05-01,1258.75
2010-06-01,1167.5
2010-07-01,1127.0
2010-08-01,1150.0
2010-09-01,1178.75
2010-10-01,1323.0
2010-11-01,1492.5
2010-12-01,1465.0
2011-01-01,1651.25
2011-02-01,1825.0
2011-03-01,1857.5
2011-04-01,1791.0
2011-05-01,1615.0
2011-06-01,1603.75
2011-07-01,1587.0
2011-08-01,1674.375
2011-09-01,1715.0
2011-10-01,1609.375
2011-11-01,1475.625
2011-12-01,1469.5
2012-01-01,1533.75
2012-02-01,1594.375
2012-03-01,1561.0
2012-04-01,1500.625
2012-05-01,1448.125
2012-06-01,1249.0
2012-07-01,1288.125
2012-08-01,1336.0
2012-09-01,1396.25
2012-10-01,1392.5
2012-11-01,1382.0
2012-12-01,1480.0
2013-01-01,1550.0
2013-02-01,1565.0
2013-03-01,1475.0
2013-04-01,1398.75
2013-05-01,1403.0
2013-06-01,1385.625
2013-07-01,1387.5
2013-08-01,1439.0
2013-09-01,1406.875
2013-10-01,1359.375
2013-11-01,1322.0
2013-12-01,1330.8333333333333
2014-01-01,1310.0
2014-02-01,1271.875
2014-03-01,1235.625
2014-04-01,1243.75
2014-05-01,1215.5
2014-06-01,1298.75
2014-07-01,1313.75
2014-08-01,1305.0
2014-09-01,1248.75
2014-10-01,1168.0
2014-11-01,1113.75
2014-12-01,1016.25
2015-01-01,891.875
2015-02-01,919.1666666666666
2015-03-01,956.875
2015-04-01,1015.0
2015-05-01,1098.5
2015-06-01,1047.5
2015-07-01,979.5
2015-08-01,908.125
2015-09-01,886.25
2015-10-01,868.5
2015-11-01,853.75
2015-12-01,818.75
